"id","mes","precipitacion_acumulada"
"NH0098",1973-08-01,6.2
"NH0098",1973-09-01,16.6
"NH0098",1973-10-01,96.3
"NH0098",1973-11-01,51.7
"NH0098",1973-12-01,85.1
"NH0098",1974-01-01,133.4
"NH0098",1974-02-01,175.6
"NH0098",1974-03-01,115.5
"NH0098",1974-04-01,15.6
"NH0098",1974-05-01,102.7
"NH0098",1974-06-01,13.5
"NH0098",1974-07-01,22.2
"NH0098",1974-08-01,1.8
"NH0098",1974-09-01,22
"NH0098",1974-10-01,45.6
"NH0098",1974-11-01,65.1
"NH0098",1974-12-01,151.8
"NH0098",1975-01-01,141.3
"NH0098",1975-02-01,88.1
"NH0098",1975-03-01,344.7
"NH0098",1975-04-01,162.6
"NH0098",1975-05-01,84.8
"NH0098",1975-06-01,37.1
"NH0098",1975-07-01,6.7
"NH0098",1975-08-01,63.7
"NH0098",1975-09-01,119
"NH0098",1975-10-01,40.1
"NH0098",1975-11-01,69
"NH0098",1975-12-01,7.6
"NH0098",1976-01-01,151.8
"NH0098",1976-02-01,80.9
"NH0098",1976-03-01,84.2
"NH0098",1976-04-01,46.3
"NH0098",1976-05-01,50.9
"NH0098",1976-06-01,0.7
"NH0098",1976-07-01,2.1
"NH0098",1976-08-01,74.2
"NH0098",1976-09-01,4.5
"NH0098",1976-10-01,138.9
"NH0098",1976-11-01,97.3
"NH0098",1976-12-01,111.1
"NH0098",1977-01-01,165.6
"NH0098",1977-02-01,341.4
"NH0098",1977-03-01,402.4
"NH0098",1977-04-01,67.4
"NH0098",1977-05-01,28.8
"NH0098",1977-06-01,12.1
"NH0098",1977-07-01,10.1
"NH0098",1977-08-01,31.8
"NH0098",1977-09-01,37.2
"NH0098",1977-10-01,235.5
"NH0098",1977-11-01,118.4
"NH0098",1977-12-01,349.5
"NH0098",1978-01-01,265.8
"NH0098",1978-02-01,98.9
"NH0098",1978-03-01,286.2
"NH0098",1978-04-01,46.8
"NH0098",1978-05-01,1.9
"NH0098",1978-06-01,54.5
"NH0098",1978-07-01,50
"NH0098",1978-08-01,0.1
"NH0098",1978-09-01,78
"NH0098",1978-10-01,105.3
